Reporting Economy,Partner Economy,PSI Reporting Economy,PSI Partner Economy,Year,Value
Nicaragua,European Union,-0.471975326538086,0.7259235094192634,2021,575443.8200000001
Nicaragua,Hong Kong,-0.471975326538086,0.263934075832367,2021,1109.12
Nicaragua,India,-0.471975326538086,-0.691076755523682,2021,1700.6799999999998
Nicaragua,Indonesia,-0.471975326538086,-0.531449198722839,2021,283.46
Nicaragua,Israel,-0.471975326538086,-1.12231314182281,2021,8372.51
Nicaragua,Japan,-0.471975326538086,1.0155017375946,2021,20764.129999999997
Nicaragua,Malaysia,-0.471975326538086,0.0595565475523472,2021,75980.76000000001
Nicaragua,Mexico,-0.471975326538086,-0.687615871429443,2021,136552.91999999998
Nicaragua,Morocco,-0.471975326538086,-0.40256267786026,2021,478.47999999999996
Nicaragua,Panama,-0.471975326538086,0.307207077741623,2021,41212.5
Nicaragua,Peru,-0.471975326538086,-0.355252951383591,2021,3.35
Nicaragua,Philippines,-0.471975326538086,-0.984022319316864,2021,31530.14
Nicaragua,Singapore,-0.471975326538086,1.44250547885895,2021,14037.93
Nicaragua,South Korea,-0.471975326538086,0.629045724868774,2021,910969.01
Nicaragua,Switzerland,-0.471975326538086,1.11537563800812,2021,9531.58
Nicaragua,Taiwan,-0.471975326538086,0.767897605895996,2021,251736.47
Nicaragua,Thailand,-0.471975326538086,-0.56877988576889,2021,1002.92
Nicaragua,United Kingdom,-0.471975326538086,0.489994138479233,2021,20039.66
Nicaragua,United States,-0.471975326538086,-0.0144246527925134,2021,387724.55
North Macedonia,Australia,0.0624840781092644,0.83507913351059,2021,2513.9850367999998
North Macedonia,Brazil,0.0624840781092644,-0.419879764318466,2021,686.1886304
North Macedonia,Canada,0.0624840781092644,0.962336957454681,2021,189626.7151055
North Macedonia,China,0.0624840781092644,-0.516462862491608,2021,39473904.975074604
North Macedonia,European Union,0.0624840781092644,0.7259235094192634,2021,26850939.915128898
North Macedonia,Hong Kong,0.0624840781092644,0.263934075832367,2021,54420.1747411
North Macedonia,India,0.0624840781092644,-0.691076755523682,2021,9931.430325399999
North Macedonia,Indonesia,0.0624840781092644,-0.531449198722839,2021,838517.4618175
North Macedonia,Israel,0.0624840781092644,-1.12231314182281,2021,1971.6437892000001
North Macedonia,Japan,0.0624840781092644,1.0155017375946,2021,7761890.9424502
North Macedonia,Malaysia,0.0624840781092644,0.0595565475523472,2021,14165720.9322393
North Macedonia,Mexico,0.0624840781092644,-0.687615871429443,2021,356919.4223014
North Macedonia,Morocco,0.0624840781092644,-0.40256267786026,2021,45467.7223794
